Parcel ID,Latitude (generated),Longitude (generated)
1007100110,42.02194998,-93.579384
924152030,41.98881813,-93.60050469
924151050,41.98922521,-93.59973392
924151040,41.98943098,-93.59973465
924100070,41.99088518,-93.59979237
924100060,41.99108089,-93.59974964
924100050,41.99129818,-93.59972374
924100040,41.99148865,-93.59984381
924100020,41.99185648,-93.60008273
923426070,41.98620234,-93.6021699
923426010,41.9862489,-93.60357657
923425030,41.98624969,-93.60479033
923400150,41.98624988,-93.60548156
923400125,41.98624872,-93.60616822
923400110,41.98624835,-93.60639624
923400040,41.98624567,-93.60802744
923400025,41.98624415,-93.60892974
923277080,41.98695226,-93.60413012
923277040,41.98761083,-93.60412359
923277030,41.98777545,-93.60412195
923276260,41.98768549,-93.60277325
923276250,41.98765575,-93.60301528
923276180,41.98806113,-93.60313218
923276100,41.9883251,-93.60179488
923276030,41.98902639,-93.60343748
923275200,41.98777741,-93.60515188
923275140,41.98835436,-93.60400669
923275090,41.98868562,-93.60473175
923275080,41.98869141,-93.60498403
923275040,41.98916054,-93.60471853
923275010,41.98981076,-93.60499049
923252100,41.98710415,-93.60515846
923252080,41.98744127,-93.60515517
923252075,41.98736081,-93.60545054
923251180,41.98788059,-93.60605681
923251160,41.98952838,-93.60546638
923251080,41.98838623,-93.60625562
923250210,41.9889218,-93.60959812
923250060,41.98867563,-93.60879712
923230200,41.9913662,-93.6011162
923230190,41.99140021,-93.60130313
923230180,41.99136291,-93.60150793
923230120,41.99104402,-93.6023419
923230040,41.98993912,-93.60311408
923230010,41.9894517,-93.60419552
923229140,41.99070057,-93.60520686
923229110,41.99008339,-93.60441902
923229100,41.9898647,-93.60424318
923229040,41.99083856,-93.60468598
923229010,41.99149285,-93.60509666
923228420,41.99184868,-93.60314498
923228390,41.9916946,-93.60303978
923228370,41.9915919,-93.60296969
923228310,41.99162469,-93.60244576
923228290,41.99169094,-93.60231929
923228270,41.99178078,-93.60205416
923228260,41.99179949,-93.60198108
923228250,41.99181656,-93.60190709
923228230,41.99184515,-93.60175587
923228220,41.99185423,-93.60146246
923228210,41.99191975,-93.60147416
923228200,41.99195784,-93.60153005
923228180,41.99206036,-93.60160063
923228150,41.99231178,-93.60177373
923228130,41.9924143,-93.60184431
923228110,41.99240192,-93.60217484
923228080,41.99233829,-93.6023903
923227100,41.99242624,-93.60041698
923227080,41.99283327,-93.60056619
923227030,41.99350804,-93.60134208
923226320,41.99226625,-93.60337732
923226300,41.99231836,-93.60323952
923226290,41.99234597,-93.60317168
923226270,41.99245525,-93.60294184
923226250,41.99250627,-93.60280317
923226180,41.99268741,-93.60220891
923226150,41.9918396,-93.60083467
923225510,41.99259702,-93.60433271
923225490,41.9922682,-93.60419149
923225440,41.99198862,-93.60451014
923225390,41.99167473,-93.60416919
923225370,41.99176049,-93.60394355
923225360,41.99178663,-93.60387474
923225310,41.99152485,-93.60354945
923225300,41.99147347,-93.6035144
923225260,41.99114404,-93.60326121
923225240,41.99047469,-93.60358851
923225200,41.99084099,-93.60393898
923225190,41.9909326,-93.60402656
923225150,41.99129885,-93.60437702
923225080,41.99208279,-93.60513549
923225050,41.99244502,-93.60513213
923225040,41.99256576,-93.60513104
923205120,41.99029147,-93.60598141
923205025,41.99099916,-93.60743659
923205015,41.99072745,-93.60795442
923204150,41.99302404,-93.60728623
923204140,41.99277433,-93.60692431
923204050,41.99281577,-93.60613537
923204040,41.99303385,-93.60582233
923203190,41.99153796,-93.60793077
923203140,41.9919807,-93.60793248
923203110,41.99224638,-93.60793346
923203100,41.99233488,-93.60793382
923203090,41.99242344,-93.60793419
923203010,41.99316429,-93.60795089
923202220,41.9927636,-93.6095329
923202137,41.99020419,-93.60986051
923202134,41.99020456,-93.60958922
923202105,41.99046908,-93.60860397
923202060,41.99183131,-93.60880925
923202025,41.99276165,-93.60857837
923202015,41.9929815,-93.60854558
923202005,41.99322932,-93.60855795
923201100,41.99362452,-93.60428401
923201020,41.99362165,-93.60681673
923125030,41.99212564,-93.61069583
921205070,41.99313972,-93.64682685
921205050,41.99305848,-93.64747768
921205030,41.99305756,-93.64813131
921201060,41.99365938,-93.64724625
921128050,41.99274239,-93.65143997
921128030,41.99273569,-93.65216113
921128020,41.99280602,-93.65251245
921126030,41.9927455,-93.6535756
921126010,41.99325912,-93.65337867
917425190,41.99717345,-93.66161752
916477020,41.9939698,-93.64842953
916477010,41.99397047,-93.64875696
916475110,41.9945559,-93.64784582
916475100,41.9945988,-93.6475329
916475040,41.99511383,-93.64785947
916475020,41.99506617,-93.64848238
916460110,41.99560954,-93.64630427
916460070,41.99625305,-93.64635918
916460060,41.99640207,-93.64636619
916460020,41.9970095,-93.64636607
916455170,41.99565885,-93.64885545
916455150,41.99565976,-93.64826686
916455120,41.99572772,-93.64733195
916455110,41.99556931,-93.6469994
916455070,41.99624196,-93.64707041
916455050,41.99654951,-93.64708199
916455010,41.99717303,-93.64702427
916403290,41.9976972,-93.64513653
916403250,41.99808399,-93.64471518
916403230,41.99868684,-93.64468269
916403200,41.99859993,-93.64511727
916403130,41.99936857,-93.64588768
916403020,41.99771061,-93.64616786
916403010,41.99772017,-93.64639588
916402215,41.99759169,-93.64727941
916402125,41.99963144,-93.64641569
916402115,41.99973134,-93.6462307
916402015,41.99980789,-93.64506613
916386180,41.9952094,-93.65028461
916386170,41.99491666,-93.6501265
916386140,41.99435897,-93.65017654
916386090,41.99353992,-93.64947921
916386080,41.99377897,-93.64948464
916386060,41.99416027,-93.64949482
916386040,41.99455864,-93.64950628
916386020,41.99495707,-93.64951773
916386010,41.99517759,-93.64952401
